content
быстро, качественно, недорого. я очень довольна, мои лучшие рекомендации.
Большое спасибо! Получила свой заказ очень быстро! Все в комплекте,спасибо за подарочек! Благодарю за оперативность и помощь при проблемах с оплатой. С уважением Наталья Онищик Новосибирск
Все как всегда на высшем уровне
Как всегда превосходно:))
Спасибо большое, все получила ))
Спасибо большое!!! јак всегдаи сервис и товар на высоте!!!
Большое спасибо!!! _се очень красиво и качественно! я подарок очень нужный))) закажу еще!
Спасибо большое!
КАк всегда -великолепно!!! Очень довольна! Огомное спасибо и всех благ!
Рада, что нашла на Ярмарке этот магазин - качество товаров хорошее, выполнение заказа быстрое. Обязательно, буду заходить еще.
Все супер пупер! Как всегда на высоте! Красивенные стразы, очень понравилась основа длџ вышивки и замша! Спасибо огромное, девочки! Вы молодцы!
Спасибо вам огромное за такую быструю отправку заказа, получила очень быстро, уже оформила новый заказ у вас. Лчень приятно с вами работать, надеюсь стать вашим постоянным покупателем!
Я забрала заветную коробочку!!!______
Все было замечательно! Продавцы очень отзывчивые и всегда идут навстречу. Очень рекомендую!
Отличный магазин! Любящие свое дело девочки,внимательные и ответственные! Спасибо!
Спасибо! С нетерпением жду посылку.
Девчонки вы молодцы!)) Все так быстро отправили и так красиво упаковала;)) А то что пришло вообще бомба;)
Все замечательно, буду еще обращаться. Спасибо!
Спасибо большое! Очень понравилась основа для вышивки и замша,мягкая как кожа младенца:)
Вчера получила свой заказ. Все очень понравилось,спасибо большое! Отдельное спасибо за маленькие сюрпризики. Надеюсь на дальнейшее сотрудничество
Спасибо большое! Все отлично.
Здравствуйте! Заказ свой получила, спасибо. Быстро, как всегда красиво упакован! отдельное спасибо за подарочки. Надеюсь на дальнейшее сотрудничество. Всего вам доброго! Ольга
Получила сегодня посылку, канитель тонкусенькая - загляденье, стразы шелковые заказываю первый раз, тоже очень симпатичные, стеклянный жемчуг хорошего качества - на месте дырочек не выпирают потеки верхнего покрытия, посылку собрали и отправили быстро (на почте немного возмущались заказному письму в коробке). Магазин понравился, буду заказывать еще))
Спасибо вам за прекрасные материалы! Хочется отдельно отметить, как все замечательно и аккуратно упаковано - очень стильно, глаз радуется!
Спасибо. Посылка пришла.
Спасибо большое, пайетки пришли, очень красивые, быстро добрались, буду творить красоту:)
Отличная работа!!! Хороший магазин!
Осталась очень довольна работой магазина, качеством страз, бусин и все остального. Спасибо вам большое!!!!!
Большое спасибо за красоту! Заказ отправлен очень быстро! Материалы просто превосходные! Буду покупать еще и еще! =) Процветания вашему магазину!
Благодарю за прекрасную посылочку! Как всегда красиво, качественно и оперативно!
Спасибо!))
спасибо огромное!!! посылочку получила очень быстро! все блестит и сверкает...прям как я и хотела...пойду творить...
Сегодня получила посылочку от замечательных девочек Црыстал Систер! Очень довольна и счастлива! красивые стразы, жемчуг и многое другое. Все качественное, упаковано аккуратно. Дошло быстро. Это была моя первая покупка в этом магазине, но, уверена, что не последняя!!! Спасибо огромное!!!
Чудесный магазин с превосходным качеством. Получила свою посылочку,не могу налюбоваться. Собрана и отправлена была очень оперативно,каждый товар любовно упакован в отдельный пакетик. Спасибо,теперь я буду у вас частым гостем.
Все стразики на 150%) еще не раз буду заходить в гости в этот чудесный магазин!____
Посылка пришла, ура-ура!) Спасибо огромное, как всегда все отлично! я спасибо отдельное за подарочки! До новых встреч!
Спасибо за качественный товар! Порадовало расширение ассортимента! Очень аккуратно упаковано, все в целости и сохранности. Отдельное спасибо за подарочки)))
Жанна и Анастасия, спасибо за быструю отправку заказа! Кисточки просто замечательные! С удовольствием буду заказывать еще.
Прекрасный магазин) качественный товар, быстрое обслуживание и приятное общение)))
Спасибо, все пришло. Кисти отличные!!!
Большое спасибо! Сбилась со счета сколько оформила у вас покупок! И всегда вы на высоте. Отличное качество, быстрая доставка, красивая упаковка, приятное общение. Отдельное спасибо за пробнички и подарки. Успехов и процветания вашему магазину!
Все очень понравилось, великолепные материалы. Удачи и процветания магазину.
Спасибо за доставку. Была рада получить посылку. Очередной раз порадовала товарная накладная. Все подробно указано, размеры, кол-во. Из-за больших заказов не всегда помнишь, что и заказывал, а тут прямо приложение подробное с наименованием и ценой. Каждый товар в индивидуальной упаковке-это радует. Видно, что дорожите своим товаром. Это приятно. Надеюсь на дальнейшее сотрудничество. Спасибо вам, девочки =)
Огромное спасибо за посылочку! Все получила в наилучшем виде, а главное - очень быстро!!! Все очень красивое и качественное! Обязательно буду заказывать еще!!!
Безупречно!
Посылку получила! Все быстро, качественно и с неожиданным подарком, который меня рассмешил :))))! Благодарю за все и надеюсь на дальнейшее сотрудничество!
Все пришло в обещанные сроки. Очень красивые перламутровые стразы) Спасибо!
Спасибо вам большое! В очередной раз я просто в восторге от вашей работы)
Все дошло быстро и в сохранности. Материалами довольна. Спасибо за подарочек! :)
спасибо за вашу работу!материалы хорошего качества, пришло быстро!отдельное спасибо продавцам за отличное качество обслуживания!
Большое спасибо!
Большое спасибо! Цветная канитель сводит с ума)
Девушки, дорогие, посылочку получила. Все как всегда безупречно и красиво упаковано. Спасибо вам огромное. Я к вам еще загляну ;)
Crystal Sister как всегда превзошли мои ожидания по скорости формирования заказа и отправке! Отдельное спасибо за смс-напоминание про оформленный заказ! Закрутилась на работе и совсем забыла про оплату. Ребята, вы молодцы!
